Id,Lat.,Long.,Indirizzo,UPL,Quartiere,Circoscrizione,Coordinate,Proponente,Titolo proposta,Rappresentante,Stato di avanzamento,Patto di Collaborazione sottoscritto,Foto,googlemaps ,geouri
001,38.11930862,13.36625203,Piazza Fonderia,Castellammare o Loggia,Tribunali-Castellammare,I,"38.119308620896014, 13.366252026682226",Gruppo informale,Riqualificazione di aree di Piazza Fonderia,Associazione Piazza Fonderia,Istruttoria in corso,,https://palermohub.github.io/Dashboard-Monitoraggio/img/foto.jpg,"https://maps.google.com/?q=38.119308620896,13.3662520266822","geo:38.119308620896,13.3662520266822"
002,38.19572024,13.29802678,Via Spinasanta attiguo al civico 585,Partanna Mondello,Partanna Mondello,VII,"38.19572023898862, 13.298026783615217",Persona fisica,Aiutiamo a prevenire i danni degli incendi,,Respinta,,https://palermohub.github.io/Dashboard-Monitoraggio/img/foto.jpg,"https://maps.google.com/?q=38.1957202389886,13.2980267836152","geo:38.1957202389886,13.2980267836152"
003,38.12168435,13.35679153,Via Generale Magliocco,Croci - Ruggero Settimo,Politeama,VIII,"38.12168434841136, 13.35679152663667",Associazione,Fontana e installazione sonora dedicata all'opera di Tomasi di Lampedusa,Associazione Culturale Ignazio Florio,Respinta,,https://palermohub.github.io/Dashboard-Monitoraggio/img/foto.jpg,"https://maps.google.com/?q=38.1216843484113,13.3567915266366","geo:38.1216843484113,13.3567915266366"
004,38.11252695,13.35856559,Area di Ballarò,Palazzo Reale o Albergaria,Palazzo Reale - Monte di Pietà,I,"38.11252694904221, 13.358565585979425",Associazione,Una strada parlante ,Per esempio Onlus,Patto stipulato,2024 06 28 E Patto di collaborazione Una Strada Parlante_signed.pdf,https://palermohub.github.io/Dashboard-Monitoraggio/img/foto.jpg,"https://maps.google.com/?q=38.1125269490422,13.3585655859794","geo:38.1125269490422,13.3585655859794"
005,38.13953197,13.35224276,via Sampolo,Marchese di Villabianca - Sampolo,Libertà,VIII,"38.13953196881912, 13.352242761419115",Comitato civico,Generazione attiva Palermo: Bella è possibile.,Comitato Civico Cittadino Palermo Bella è Possibile,Respinta,,https://palermohub.github.io/Dashboard-Monitoraggio/img/foto.jpg,"https://maps.google.com/?q=38.1395319688191,13.3522427614191","geo:38.1395319688191,13.3522427614191"
006,38.13603534,13.31083243,CEP via Barisano da Trani,San Giovanni Apostolo,Cruillas - S.Giovanni Apostolo,VI,"38.1360353416193, 13.310832428809041",Gruppo Informale,Arricria - CEP,Orto Capovolto,In attesa di integrazione,,https://palermohub.github.io/Dashboard-Monitoraggio/img/foto.jpg,"https://maps.google.com/?q=38.1360353416193,13.310832428809","geo:38.1360353416193,13.310832428809"
007,38.10725255,13.38282415,Parte spazio corte antistante lo stand Florio,Settecannoli,Settecannoli,II,"38.10725255464807, 13.382824152360328",Società,Riqualificazione dello spazio-corte dello Stand Florio part.37 Fg.64 ,Stand Florio srl Unipersonale,Patto stipulato,Patto di Collaborazione Stand Florio-signed (1).pdf,https://palermohub.github.io/Dashboard-Monitoraggio/img/foto.jpg,"https://maps.google.com/?q=38.107252554648,13.3828241523603","geo:38.107252554648,13.3828241523603"
008,38.11556111,13.36156022,"via Maqueda, tratto Piazza Verdi - Via Venezia/Candelai",Tribunali o Kalsa,Tribunali-Castellammare,I,"38.1155611067912, 13.361560217853517",Associazione,Verde in via Maqueda,Maqueda Futura,Respinta,,https://palermohub.github.io/Dashboard-Monitoraggio/img/foto.jpg,"https://maps.google.com/?q=38.1155611067912,13.3615602178535","geo:38.1155611067912,13.3615602178535"
009,38.11455624,13.36947838,Piazza Magione,Tribunali o Kalsa,Tribunali-Castellammare,I,"38.114556242170764, 13.369478379367159",Persona fisica,Realizzazione della p.zza degli artisti in p.zza Magione,,Respinta,,https://palermohub.github.io/Dashboard-Monitoraggio/img/foto.jpg,"https://maps.google.com/?q=38.1145562421707,13.3694783793671","geo:38.1145562421707,13.3694783793671"
010,38.11322064,13.35965698,Piazza Santa Chiara n 8 ,Palazzo Reale o Albergaria,Palazzo Reale - Monte di Pietà,I,"38.113220640447615, 13.35965698357803",Associazione,Piazza pulita,Associazione senegalese sicilia occidentale,Patto stipulato,Patto di Collaborazione Piazza Pulita f.to.pdf,https://palermohub.github.io/Dashboard-Monitoraggio/img/foto.jpg,"https://maps.google.com/?q=38.1132206404476,13.359656983578","geo:38.1132206404476,13.359656983578"
